Package , CPU , GPU , DRAM? , Time (sec) 
../c/binary-trees ; 25.702941894531250000, 21.255859375000000000,  ,  ,  6210.44 
../c/binary-trees ; 22.979553222656250000, 19.418334960937500000,  ,  ,  5997.18 
../c/binary-trees ; 23.017211914062500000, 19.431457519531250000,  ,  ,  5972.65 
../c/binary-trees ; 23.209533691406250000, 19.648803710937500000,  ,  ,  5984.34 
../c/binary-trees ; 22.982421875000000000, 19.420898437500000000,  ,  ,  5957.57 
../c/binary-trees ; 23.309997558593750000, 19.591247558593750000,  ,  ,  5969.89 
../c/binary-trees ; 23.182189941406250000, 19.609252929687500000,  ,  ,  5978.81 
../c/binary-trees ; 23.120422363281250000, 19.534301757812500000,  ,  ,  5983.81 
../c/binary-trees ; 23.082031250000000000, 19.514587402343750000,  ,  ,  5969.43 
../c/binary-trees ; 23.174255371093750000, 19.630065917968750000,  ,  ,  5962.34 
