Package , CPU , GPU , DRAM? , Time (sec) 
../c/fannkuch-redux ; 0.011108398437500000, 0.009399414062500000,  ,  ,  2.233 
../c/fannkuch-redux ; 0.009887695312500000, 0.008117675781250000,  ,  ,  1.956 
../c/fannkuch-redux ; 0.010559082031250000, 0.010986328125000000,  ,  ,  2.754 
../c/fannkuch-redux ; 0.018127441406250000, 0.009826660156250000,  ,  ,  2.396 
../c/fannkuch-redux ; 0.005981445312500000, 0.006347656250000000,  ,  ,  1.703 
../c/fannkuch-redux ; 0.012084960937500000, 0.007446289062500000,  ,  ,  1.697 
../c/fannkuch-redux ; 0.005798339843750000, 0.004211425781250000,  ,  ,  1.163 
../c/fannkuch-redux ; 0.009155273437500000, 0.005981445312500000,  ,  ,  1.446 
../c/fannkuch-redux ; 0.004638671875000000, 0.003662109375000000,  ,  ,  1.091 
../c/fannkuch-redux ; 0.005004882812500000, 0.003784179687500000,  ,  ,  1.101 
Package , CPU , GPU , DRAM? , Time (sec) 
../c/fannkuch-redux ; 404.076721191406250000, 348.036315917968750000,  ,  ,  116917 
../c/fannkuch-redux ; 405.763366699218750000, 347.753051757812500000,  ,  ,  116922 
../c/fannkuch-redux ; 410.774475097656250000, 348.625793457031250000,  ,  ,  116877 
../c/fannkuch-redux ; 408.542297363281250000, 346.427490234375000000,  ,  ,  116835 
../c/fannkuch-redux ; 410.264892578125000000, 348.160461425781250000,  ,  ,  116910 
../c/fannkuch-redux ; 421.321350097656250000, 356.562927246093750000,  ,  ,  117403 
../c/fannkuch-redux ; 414.047119140625000000, 351.337097167968750000,  ,  ,  117037 
../c/fannkuch-redux ; 413.797729492187500000, 353.220092773437500000,  ,  ,  117139 
../c/fannkuch-redux ; 447.993164062500000000, 380.039367675781250000,  ,  ,  118917 
../c/fannkuch-redux ; 403.354309082031250000, 346.368164062500000000,  ,  ,  116875 
