Package , CPU , GPU , DRAM? , Time (sec) 
../c/fasta ; 0.339294433593750000, 0.251037597656250000,  ,  ,  73.327 
../c/fasta ; 0.363403320312500000, 0.283081054687500000,  ,  ,  65.689 
../c/fasta ; 0.372802734375000000, 0.291442871093750000,  ,  ,  66.547 
../c/fasta ; 0.363891601562500000, 0.285217285156250000,  ,  ,  65.381 
../c/fasta ; 0.354431152343750000, 0.278686523437500000,  ,  ,  63.507 
../c/fasta ; 0.345642089843750000, 0.274780273437500000,  ,  ,  61.75 
../c/fasta ; 0.353210449218750000, 0.277648925781250000,  ,  ,  64.183 
../c/fasta ; 0.308166503906250000, 0.250732421875000000,  ,  ,  60.598 
../c/fasta ; 0.291870117187500000, 0.230957031250000000,  ,  ,  56.431 
../c/fasta ; 0.435485839843750000, 0.381347656250000000,  ,  ,  69.197 
