User Time (s), System Time (s), Real Time (s), Executable Size (KB)
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
0.00, 0.00, 0.00, 16.30 
