Résultats de consommation énergétique (en Watts) :
Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:06:15   8.5   0.0   0.4  91.1   0.0    2   1703    800    0    0    0   1.05 
17:06:16   8.4   0.0   0.6  91.1   0.0    2    488    222    0    0    0   1.05 
17:06:17   8.4   0.0   0.6  91.0   0.0    2   1665    810    0    0    0   2.00 
17:06:18   8.3   0.0   0.0  91.7   0.0    2    149     39    0    0    0   2.00 
17:06:19   8.6   0.0   0.3  91.1   0.0    2   1481    714    0    0    0   2.00 
17:06:20   8.4   0.0   0.0  91.5   0.1    2    242     69    0    0    0   2.00 
17:06:21   8.4   0.0   0.4  91.2   0.0    2   1453    692    0    0    0   2.00 
17:06:22   8.3   0.0   0.0  91.7   0.0    2    154     43    0    0    0   2.00 
17:06:23   8.5   0.0   0.6  90.9   0.0    2   1375    655    0    0    0   2.00 
17:06:24   8.3   0.0   0.1  91.6   0.0    2    144     51    0    0    0   2.00 
17:06:25   8.6   0.0   0.2  91.3   0.0    3    993    470    0    0    0   2.00 
17:06:26   8.5   0.0   0.1  91.4   0.0    2    603    278    0    0    0   2.00 
17:06:27   8.3   0.0   0.0  91.7   0.0    2    142     40    0    0    0   2.00 
17:06:28   8.6   0.0   0.2  91.2   0.0    2   1412    690    0    0    0   2.00 
17:06:29   8.3   0.0   0.0  91.7   0.0    2    126     42    0    0    0   2.00 
17:06:30   8.6   0.0   0.4  90.9   0.1    2   1444    703    0    0    0   2.00 
17:06:31   8.3   0.0   0.0  91.7   0.0    2    144     46    0    0    0   2.00 
17:06:32   8.5   0.0   0.2  91.2   0.0    2   1430    684    0    0    0   2.00 
17:06:33   8.3   0.0   0.0  91.7   0.0    2    142     42    0    0    0   2.00 
17:06:34   8.3   0.0   0.4  91.3   0.0    2   1389    676    0    0    0   2.00 
17:06:35   8.4   0.0   0.2  91.5   0.0    2    173     56    0    0    0   2.00 
17:06:36   8.6   0.0   0.1  91.3   0.0    2   1440    687    0    0    0   2.00 
17:06:37   8.3   0.0   0.1  91.6   0.0    2    142     45    0    0    0   2.00 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:06:38   8.3   0.0   0.5  91.2   0.0    2   1416    669    0    0    0   2.00 
17:06:39   8.3   0.0   0.0  91.7   0.0    2    136     34    0    0    0   2.00 
17:06:40   8.4   0.0   0.4  91.1   0.1    2   1475    708    0    0    0   2.00 
17:06:41   8.3   0.0   0.1  91.6   0.0    2    183     57    0    0    0   2.00 
17:06:42   5.5   0.0   0.4  94.1   0.0    1   1426    669    0    0    0   2.00 
17:06:43   0.0   0.0   0.1  99.9   0.0    1    156     27    0    0    0   2.00 
17:06:44   0.2   0.0   0.3  99.6   0.0    1   1424    662    0    0    0   2.00 
17:06:45   0.1   0.0   0.0  99.9   0.0    1    187     33    0    0    0   2.00 
17:06:46   0.4   0.0   0.2  99.4   0.0    1   1477    678    0    0    0   2.00 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   7.3   0.0   0.2  92.5   0.0  1.9  822.3  377.8  0.0  0.0  0.0   1.95 
 GeoMean   0.0   0.0   0.0  92.4   0.0  1.8  511.0  191.7  0.0  0.0  0.0   1.93 
  StdDev   2.7   0.0   0.2   2.8   0.0  0.4  630.7  315.4  0.0  0.0  0.0   0.23 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.0   0.0   0.0  90.9   0.0  1.0  126.0   27.0  0.0  0.0  0.0   1.05 
 Maximum   8.6   0.0   0.6  99.9   0.1  3.0 1703.0  810.0  0.0  0.0  0.0   2.00 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
System:   1.95 Watts on average with standard deviation 0.23  
