Package , CPU , GPU , DRAM? , Time (sec) 
../erlang/binary-trees ; 3.433288574218750000, 2.240539550781250000,  ,  ,  1496.05 
../erlang/binary-trees ; 3.118774414062500000, 2.073120117187500000,  ,  ,  1254.82 
../erlang/binary-trees ; 2.127319335937500000, 1.496765136718750000,  ,  ,  928.468 
../erlang/binary-trees ; 2.460632324218750000, 1.466430664062500000,  ,  ,  1027.99 
../erlang/binary-trees ; 2.592529296875000000, 1.525817871093750000,  ,  ,  1094.11 
../erlang/binary-trees ; 2.503479003906250000, 1.465393066406250000,  ,  ,  1103.34 
../erlang/binary-trees ; 2.344299316406250000, 1.343750000000000000,  ,  ,  1084.91 
../erlang/binary-trees ; 2.750915527343750000, 1.663269042968750000,  ,  ,  1253.22 
../erlang/binary-trees ; 2.222534179687500000, 1.274841308593750000,  ,  ,  1006.19 
../erlang/binary-trees ; 2.413574218750000000, 1.393615722656250000,  ,  ,  1101.83 
