Package , CPU , GPU , DRAM? , Time (sec) 
../erlang/binary-trees ; 26.594970703125000000, 21.216674804687500000,  ,  ,  7060.32 
../erlang/binary-trees ; 23.977722167968750000, 19.433959960937500000,  ,  ,  6893.4 
../erlang/binary-trees ; 23.634582519531250000, 19.092407226562500000,  ,  ,  6815.19 
../erlang/binary-trees ; 31.510864257812500000, 25.476318359375000000,  ,  ,  7531.7 
../erlang/binary-trees ; 35.533325195312500000, 28.072998046875000000,  ,  ,  7974.28 
../erlang/binary-trees ; 26.415161132812500000, 21.320434570312500000,  ,  ,  7144.47 
../erlang/binary-trees ; 24.020019531250000000, 19.376159667968750000,  ,  ,  6899.06 
../erlang/binary-trees ; 23.926269531250000000, 19.272827148437500000,  ,  ,  6881.42 
../erlang/binary-trees ; 29.991210937500000000, 23.961853027343750000,  ,  ,  7234.89 
../erlang/binary-trees ; 27.975036621093750000, 22.149108886718750000,  ,  ,  7235.4 
