Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:14:06   0.2   0.0   0.4  99.2   0.1    3   1586    731    0    0    0   1.73 
17:14:07   0.1   0.0   0.2  99.7   0.0    1    258     78    0    0    0   1.73 
17:14:08   0.3   0.0   0.4  99.3   0.0    1   1456    671    0    0    0   1.73 
17:14:09   0.1   0.0   0.1  99.8   0.0    1    157     35    0    0    0   1.73 
17:14:10   0.3   0.0   0.5  99.2   0.0    1   1407    669    0    0    0   1.73 
17:14:11   0.2   0.0   0.1  99.6   0.2    1    305     86    0    0    0   1.73 
17:14:12   0.7   0.0   0.2  99.2   0.0    1   1311    606    0    0    0   1.73 
17:14:13   0.0   0.0   0.2  99.8   0.0    1    159     28    0    0    0   1.73 
17:14:14   0.3   0.0   0.3  99.4   0.0    1   1299    601    0    0    0   1.73 
17:14:15   0.1   0.0   0.2  99.7   0.0    1    287    112    0    0    0   1.73 
17:14:16   0.3   0.0   0.4  99.2   0.1    1   1519    699    0    0    0   1.73 
17:14:17   0.1   0.0   0.1  99.8   0.0    1    167     32    0    0    0   1.73 
17:14:18   0.2   0.0   0.3  99.4   0.0    1   1300    598    0    0    0   1.73 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:14:19   0.1   0.0   0.1  99.8   0.0    1    171     38    0    0    0   1.73 
17:14:20   0.3   0.0   0.7  99.1   0.0    1   1559    744    0    0    0   1.73 
17:14:21   0.1   0.0   0.3  99.6   0.1    1    306     99    0    0    0   1.73 
17:14:22   0.4   0.0   0.4  99.2   0.0    1   1305    601    0    0    0   1.73 
17:14:23   0.0   0.0   0.1  99.9   0.0    1    171     38    0    0    0   1.73 
17:14:24   0.2   0.0   0.4  99.4   0.0    1   1308    608    0    0    0   1.73 
17:14:25   0.1   0.0   0.2  99.7   0.0    1    292    108    0    0    0   1.73 
17:14:26   0.1   0.0   0.7  99.2   0.1    1   1442    657    0    0    0   1.73 
17:14:27   0.1   0.0   0.1  99.8   0.0    1    183     42    0    0    0   1.73 
17:14:28   0.3   0.0   0.2  99.5   0.0    3   1292    608    0    0    0   1.73 
17:14:29   0.1   0.0   0.1  99.8   0.0    1    207     48    0    0    0   1.73 
17:14:30   0.2   0.0   0.2  99.7   0.0    1    297    116    0    0    0   1.73 
17:14:31   0.2   0.0   1.1  98.7   0.1    1   1554    706    0    0    0   1.73 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:14:32   0.0   0.0   0.1  99.9   0.0    1    168     41    0    0    0   1.73 
17:14:33   0.3   0.0   0.3  99.5   0.0    1   1290    596    0    0    0   1.73 
17:14:34   0.2   0.0   0.1  99.7   0.0    1    165     38    0    0    0   1.73 
17:14:35   0.3   0.0   0.5  99.2   0.0    1   1430    681    0    0    0   1.73 
17:14:36   0.2   0.0   0.1  99.7   0.1    1    258     78    0    0    0   1.73 
17:14:37   0.2   0.0   0.5  99.3   0.0    1   1300    609    0    0    0   1.73 
17:14:38   0.0   0.0   0.2  99.8   0.0    1    174     34    0    0    0   1.73 
17:14:39   0.3   0.0   0.4  99.3   0.0    1   1302    604    0    0    0   1.73 
17:14:40   0.2   0.0   0.2  99.5   0.0    1    304    116    0    0    0   1.73 
17:14:41   0.2   0.0   0.7  99.0   0.0    1   1533    717    0    0    0   1.73 
17:14:42   0.2   0.0   0.1  99.7   0.0    1    174     45    0    0    0   1.73 
17:14:43   0.2   0.0   0.3  99.5   0.0    1   1290    601    0    0    0   1.73 
17:14:44   0.0   0.0   0.1  99.9   0.0    1    151     32    0    0    0   1.73 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:14:45   0.2   0.0   0.8  98.9   0.0    1   1556    746    0    0    0   1.73 
17:14:46   0.0   0.0   0.2  99.7   0.1    1    303     95    0    0    0   1.73 
17:14:47   0.2   0.0   0.3  99.5   0.0    1   1290    606    0    0    0   1.73 
17:14:48   0.0   0.0   0.2  99.8   0.0    1    144     29    0    0    0   1.73 
17:14:49   0.3   0.0   0.3  99.4   0.0    1   1279    592    0    0    0   1.73 
17:14:50   0.2   0.0   0.2  99.7   0.0    1    311    112    0    0    0   1.73 
17:14:51   0.0   0.0   0.5  99.4   0.1    1   1413    646    0    0    0   1.73 
17:14:52   0.1   0.0   0.1  99.8   0.0    1    198     44    0    0    0   1.73 
17:14:53   0.3   0.0   0.3  99.4   0.0    1   1292    604    0    0    0   1.73 
17:14:54   0.1   0.0   0.2  99.8   0.0    1    142     31    0    0    0   1.73 
17:14:55   0.4   0.0   0.5  99.1   0.0    1   1493    725    0    0    0   1.73 
17:14:56   0.1   0.0   0.1  99.7   0.1    1    274     82    0    0    0   1.73 
17:14:57   0.1   0.0   0.2  99.7   0.0    1    199     58    0    0    0   1.73 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:14:58   0.2   0.0   0.3  99.5   0.0    1   1228    574    0    0    0   1.73 
17:14:59   0.0   0.0   0.1  99.9   0.0    1    142     31    0    0    0   1.73 
17:15:00   0.4   0.0   1.2  98.4   0.0    1   1463    700    0    0    0   1.73 
17:15:01   0.0   0.0   0.3  99.4   0.2    1    279     81    0    0    0   1.73 
17:15:02   0.1   0.0   0.6  99.2   0.1    1   1393    644    0    0    0   1.73 
17:15:03   0.0   0.0   0.1  99.9   0.0    1    144     29    0    0    0   1.73 
17:15:04   0.2   0.0   0.4  99.3   0.0    1   1304    606    0    0    0   1.73 
17:15:05   0.1   0.0   0.2  99.7   0.0    1    267    103    0    0    0   1.73 
17:15:06   0.3   0.0   0.4  99.2   0.0    1   1464    685    0    0    0   1.73 
^C-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   0.2   0.0   0.3  99.5   0.0  1.1  793.7  350.4  0.0  0.0  0.0   1.73 
 GeoMean   0.0   0.0   0.2  99.5   0.0  1.0  530.0  184.6  0.0  0.0  0.0   1.73 
  StdDev   0.1   0.0   0.2   0.3   0.0  0.4  591.6  295.8  0.0  0.0  0.0   0.00 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.0   0.0   0.1  98.4   0.0  1.0  142.0   28.0  0.0  0.0  0.0   1.73 
 Maximum   0.7   0.0   1.2  99.9   0.2  3.0 1586.0  746.0  0.0  0.0  0.0   1.73 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
System:   1.73 Watts on average with standard deviation 0.00  
