User Time (s), System Time (s), Real Time (s)
5.28, 0.89, 1.88
7.96, 0.81, 2.16
6.51, 0.98, 2.03
7.81, 0.60, 2.10
4.94, 1.17, 1.99
5.52, 0.43, 1.73
4.63, 0.41, 1.64
4.84, 0.43, 1.80
6.03, 0.99, 1.97
5.12, 0.77, 1.80
4.43, 0.54, 1.64
7.80, 0.38, 2.02
8.32, 0.89, 2.24
5.62, 1.12, 2.04
4.62, 1.26, 2.11
5.47, 0.67, 2.09
7.99, 0.55, 2.35
8.37, 0.82, 2.35
5.65, 1.09, 2.14
4.73, 0.45, 1.67
4.28, 0.57, 1.76
6.93, 2.12, 2.42
7.11, 0.65, 2.00
7.03, 0.56, 1.92
5.13, 0.93, 1.83
7.53, 0.83, 2.08
4.50, 1.37, 2.35
7.58, 0.78, 2.31
8.66, 1.34, 2.72
2.95, 1.50, 2.07
