Package , CPU , GPU , DRAM? , Time (sec) 
../python/binary-trees ; 298.875732421875000000, 243.720336914062500000,  ,  ,  70606.3 
../python/binary-trees ; 221.659667968750000000, 182.580017089843750000,  ,  ,  62396.2 
../python/binary-trees ; 219.601196289062500000, 180.910888671875000000,  ,  ,  62249.4 
../python/binary-trees ; 222.128967285156250000, 183.036621093750000000,  ,  ,  62595.9 
../python/binary-trees ; 221.230834960937500000, 182.476013183593750000,  ,  ,  62312.1 
../python/binary-trees ; 220.662658691406250000, 181.786804199218750000,  ,  ,  62304.8 
../python/binary-trees ; 227.798400878906250000, 187.097351074218750000,  ,  ,  62975.4 
../python/binary-trees ; 220.428588867187500000, 181.632629394531250000,  ,  ,  62295.7 
../python/binary-trees ; 220.581604003906250000, 181.641479492187500000,  ,  ,  62312.9 
../python/binary-trees ; 220.775268554687500000, 182.066345214843750000,  ,  ,  62281.3 
