Package , CPU , GPU , DRAM? , Time (sec) 
../cpp/binary-trees/ ; 24.611328125000000000, 15.363586425781250000,  ,  ,  16137.2 
../cpp/binary-trees/ ; 22.623168945312500000, 14.291076660156250000,  ,  ,  15715 
../cpp/binary-trees/ ; 22.268920898437500000, 13.966125488281250000,  ,  ,  15705.1 
../cpp/binary-trees/ ; 22.082763671875000000, 13.865661621093750000,  ,  ,  15655.9 
../cpp/binary-trees/ ; 22.568847656250000000, 14.219055175781250000,  ,  ,  15936 
../cpp/binary-trees/ ; 22.351989746093750000, 14.108886718750000000,  ,  ,  15733.1 
../cpp/binary-trees/ ; 22.009826660156250000, 13.899108886718750000,  ,  ,  15427.7 
../cpp/binary-trees/ ; 22.224182128906250000, 13.935058593750000000,  ,  ,  15801.8 
../cpp/binary-trees/ ; 22.300170898437500000, 14.028076171875000000,  ,  ,  15733.4 
../cpp/binary-trees/ ; 42.174133300781250000, 26.038024902343750000,  ,  ,  19872.2 
