Package , CPU , GPU , DRAM? , Time (sec) 
../fortran/binary-trees/ ; 26.378540039062500000, 16.346496582031250000,  ,  ,  17299.3 
../fortran/binary-trees/ ; 23.303588867187500000, 14.629882812500000000,  ,  ,  15985.4 
../fortran/binary-trees/ ; 22.375122070312500000, 14.338562011718750000,  ,  ,  15117.2 
../fortran/binary-trees/ ; 22.403808593750000000, 14.541503906250000000,  ,  ,  15000.3 
../fortran/binary-trees/ ; 22.411865234375000000, 14.213684082031250000,  ,  ,  15658.4 
../fortran/binary-trees/ ; 34.173889160156250000, 20.953063964843750000,  ,  ,  17454.4 
../fortran/binary-trees/ ; 28.288208007812500000, 18.722351074218750000,  ,  ,  16076 
../fortran/binary-trees/ ; 21.977722167968750000, 13.873474121093750000,  ,  ,  15536 
../fortran/binary-trees/ ; 21.745483398437500000, 13.954223632812500000,  ,  ,  14860.6 
../fortran/binary-trees/ ; 22.150817871093750000, 14.329650878906250000,  ,  ,  14821.4 
