Package , CPU , GPU , DRAM? , Time (sec) 
../java:binary-trees/src ; 41.652832031250000000, 28.572326660156250000,  ,  ,  15278.9 
../java:binary-trees/src ; 36.252502441406250000, 24.956054687500000000,  ,  ,  11240.9 
../java:binary-trees/src ; 40.720764160156250000, 28.486022949218750000,  ,  ,  15323.7 
../java:binary-trees/src ; 30.145690917968750000, 21.740783691406250000,  ,  ,  13031.6 
../java:binary-trees/src ; 25.659912109375000000, 18.777465820312500000,  ,  ,  12146.9 
../java:binary-trees/src ; 25.852844238281250000, 19.196228027343750000,  ,  ,  11627.7 
../java:binary-trees/src ; 46.138488769531250000, 31.817749023437500000,  ,  ,  17636.4 
../java:binary-trees/src ; 61.156372070312500000, 41.989868164062500000,  ,  ,  21966.5 
../java:binary-trees/src ; 68.406188964843750000, 48.469848632812500000,  ,  ,  24696.9 
../java:binary-trees/src ; 61.954162597656250000, 47.083129882812500000,  ,  ,  23922.6 
