Package , CPU , GPU , DRAM? , Time (sec) 
../python/binary-trees ; 189.412048339843750000, 129.348999023437500000,  ,  ,  115279 
../python/binary-trees ; 185.059204101562500000, 127.733764648437500000,  ,  ,  111866 
../python/binary-trees ; 178.417724609375000000, 123.778076171875000000,  ,  ,  108604 
../python/binary-trees ; 180.050964355468750000, 125.500122070312500000,  ,  ,  109277 
../python/binary-trees ; 182.451232910156250000, 127.092834472656250000,  ,  ,  111213 
../python/binary-trees ; 176.695312500000000000, 126.551696777343750000,  ,  ,  108976 
../python/binary-trees ; 176.915893554687500000, 127.505187988281250000,  ,  ,  108477 
../python/binary-trees ; 174.335205078125000000, 125.246582031250000000,  ,  ,  107924 
../python/binary-trees ; 179.921142578125000000, 129.746398925781250000,  ,  ,  110609 
../python/binary-trees ; 176.389709472656250000, 127.112426757812500000,  ,  ,  107843 
