Package , CPU , GPU , DRAM? , Time (sec) 
../ruby/binary-trees/ ; 171.251159667968750000, 134.873352050781250000,  ,  ,  72977 
../ruby/binary-trees/ ; 187.207214355468750000, 143.024414062500000000,  ,  ,  79262 
../ruby/binary-trees/ ; 176.354248046875000000, 137.450378417968750000,  ,  ,  75001.1 
../ruby/binary-trees/ ; 177.788940429687500000, 138.669921875000000000,  ,  ,  76280.7 
../ruby/binary-trees/ ; 175.965942382812500000, 137.276733398437500000,  ,  ,  75568.2 
../ruby/binary-trees/ ; 173.681762695312500000, 135.645263671875000000,  ,  ,  74634.6 
../ruby/binary-trees/ ; 174.651306152343750000, 136.658020019531250000,  ,  ,  74349.3 
../ruby/binary-trees/ ; 179.484191894531250000, 139.010070800781250000,  ,  ,  76479.5 
../ruby/binary-trees/ ; 168.033691406250000000, 132.819396972656250000,  ,  ,  72324.8 
../ruby/binary-trees/ ; 167.226806640625000000, 132.494384765625000000,  ,  ,  71207.5 
