Package , CPU , GPU , DRAM? , Time (sec) 
../cpp/fannkuch-redux/ ; 807.353881835937500000, 734.002868652343750000,  ,  ,  124935 
../cpp/fannkuch-redux/ ; 760.068603515625000000, 696.109436035156250000,  ,  ,  119387 
../cpp/fannkuch-redux/ ; 767.752319335937500000, 701.392211914062500000,  ,  ,  119748 
../cpp/fannkuch-redux/ ; 767.087341308593750000, 707.997131347656250000,  ,  ,  120196 
../cpp/fannkuch-redux/ ; 758.794250488281250000, 700.205505371093750000,  ,  ,  120020 
../cpp/fannkuch-redux/ ; 761.304687500000000000, 702.452636718750000000,  ,  ,  120164 
../cpp/fannkuch-redux/ ; 766.591491699218750000, 708.114074707031250000,  ,  ,  119676 
../cpp/fannkuch-redux/ ; 765.659729003906250000, 707.226562500000000000,  ,  ,  119626 
../cpp/fannkuch-redux/ ; 763.820678710937500000, 705.141723632812500000,  ,  ,  119455 
../cpp/fannkuch-redux/ ; 766.851867675781250000, 708.129455566406250000,  ,  ,  120124 
