Package , CPU , GPU , DRAM? , Time (sec) 
../../erlang/fannkuch-redux ; 927.001586914062500000, 856.713073730468750000,  ,  ,  127629 
../../erlang/fannkuch-redux ; 919.258544921875000000, 850.580932617187500000,  ,  ,  127554 
../../erlang/fannkuch-redux ; 927.770080566406250000, 857.252014160156250000,  ,  ,  127778 
../../erlang/fannkuch-redux ; 924.268310546875000000, 856.098388671875000000,  ,  ,  126947 
../../erlang/fannkuch-redux ; 923.775939941406250000, 855.361267089843750000,  ,  ,  127171 
../../erlang/fannkuch-redux ; 914.261657714843750000, 846.783996582031250000,  ,  ,  125587 
../../erlang/fannkuch-redux ; 922.292297363281250000, 853.684082031250000000,  ,  ,  127212 
../../erlang/fannkuch-redux ; 929.453796386718750000, 860.782775878906250000,  ,  ,  127719 
../../erlang/fannkuch-redux ; 922.086730957031250000, 854.139587402343750000,  ,  ,  126311 
../../erlang/fannkuch-redux ; 921.288391113281250000, 852.297180175781250000,  ,  ,  126039 
