Package , CPU , GPU , DRAM? , Time (sec) 
../fortran/fannkuch-redux/ ; 372.220458984375000000, 316.816528320312500000,  ,  ,  102551 
../fortran/fannkuch-redux/ ; 369.398864746093750000, 314.785766601562500000,  ,  ,  102367 
../fortran/fannkuch-redux/ ; 370.760620117187500000, 315.841857910156250000,  ,  ,  102505 
../fortran/fannkuch-redux/ ; 370.558349609375000000, 315.707946777343750000,  ,  ,  102380 
../fortran/fannkuch-redux/ ; 369.234680175781250000, 314.639831542968750000,  ,  ,  102368 
../fortran/fannkuch-redux/ ; 350.758544921875000000, 295.992675781250000000,  ,  ,  102390 
../fortran/fannkuch-redux/ ; 349.430236816406250000, 294.379760742187500000,  ,  ,  102541 
../fortran/fannkuch-redux/ ; 344.335876464843750000, 294.184814453125000000,  ,  ,  102310 
../fortran/fannkuch-redux/ ; 345.099243164062500000, 295.046325683593750000,  ,  ,  102433 
../fortran/fannkuch-redux/ ; 340.956542968750000000, 291.820922851562500000,  ,  ,  102410 
