Package , CPU , GPU , DRAM? , Time (sec) 
../java/fannkuch-redux/src ; 331.676635742187500000, 284.222167968750000000,  ,  ,  69327.9 
../java/fannkuch-redux/src ; 202.896484375000000000, 172.201049804687500000,  ,  ,  57346 
../java/fannkuch-redux/src ; 219.820617675781250000, 186.442749023437500000,  ,  ,  62369.1 
../java/fannkuch-redux/src ; 248.442932128906250000, 211.097045898437500000,  ,  ,  72159.9 
../java/fannkuch-redux/src ; 207.202819824218750000, 177.071899414062500000,  ,  ,  59534.2 
../java/fannkuch-redux/src ; 246.471740722656250000, 210.802185058593750000,  ,  ,  72167.3 
../java/fannkuch-redux/src ; 246.694702148437500000, 211.683349609375000000,  ,  ,  72174.6 
../java/fannkuch-redux/src ; 206.360351562500000000, 177.012512207031250000,  ,  ,  59984.9 
../java/fannkuch-redux/src ; 197.250183105468750000, 169.885986328125000000,  ,  ,  56858.2 
../java/fannkuch-redux/src ; 244.755615234375000000, 209.733154296875000000,  ,  ,  72149.5 
