Package , CPU , GPU , DRAM? , Time (sec) 
../python/fannkuch-redux/ ; 4715.910522460937500000, 4069.871704101562500000,  ,  ,  1.17184E+06 
../python/fannkuch-redux/ ; 4235.607543945312500000, 3542.041198730468750000,  ,  ,  1.32792E+06 
../python/fannkuch-redux/ ; 4291.805480957031250000, 3601.251220703125000000,  ,  ,  1.37888E+06 
../python/fannkuch-redux/ ; 4716.435913085937500000, 4118.228820800781250000,  ,  ,  1.12095E+06 
../python/fannkuch-redux/ ; 4730.482055664062500000, 4131.811889648437500000,  ,  ,  1.12104E+06 
../python/fannkuch-redux/ ; 4747.886047363281250000, 4145.426269531250000000,  ,  ,  1.12439E+06 
../python/fannkuch-redux/ ; 4751.924499511718750000, 4150.090515136718750000,  ,  ,  1.12648E+06 
../python/fannkuch-redux/ ; 4732.871215820312500000, 4133.524475097656250000,  ,  ,  1.12194E+06 
../python/fannkuch-redux/ ; 4742.094360351562500000, 4142.953063964843750000,  ,  ,  1.1215E+06 
../python/fannkuch-redux/ ; 4734.120910644531250000, 4135.074035644531250000,  ,  ,  1.12233E+06 
