Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
-O0,3.85,3.50,0.05,16160
-O0,4.37,3.96,0.07,16160
-O0,3.69,3.36,0.04,16160
-O0,3.89,3.55,0.03,16160
-O0,3.87,3.53,0.03,16160
-O0,3.68,3.36,0.03,16160
-O0,4.40,4.03,0.03,16160
-O0,3.97,3.62,0.03,16160
-O0,4.14,3.79,0.03,16160
-O0,3.71,3.39,0.02,16160
-O1,3.96,3.58,0.07,16160
-O1,3.11,2.79,0.08,16160
-O1,3.12,2.82,0.05,16160
-O1,3.08,2.79,0.05,16160
-O1,3.08,2.81,0.02,16160
-O1,3.13,2.86,0.03,16160
-O1,3.22,2.93,0.03,16160
-O1,3.16,2.85,0.06,16160
-O1,3.14,2.85,0.04,16160
-O1,3.10,2.79,0.07,16160
-O2,2.82,2.56,0.04,20296
-O2,2.98,2.70,0.04,20296
-O2,3.25,2.98,0.01,20296
-O2,3.38,3.04,0.07,20296
-O2,2.92,2.64,0.05,20296
-O2,2.91,2.62,0.06,20296
-O2,3.13,2.87,0.01,20296
-O2,2.89,2.63,0.03,20296
-O2,3.04,2.77,0.03,20296
-O2,3.08,2.81,0.03,20296
-O3,2.70,2.45,0.03,20296
-O3,2.71,2.48,0.02,20296
-O3,2.62,2.34,0.07,20296
-O3,2.68,2.45,0.01,20296
-O3,2.60,2.37,0.02,20296
-O3,2.65,2.42,0.02,20296
-O3,2.73,2.46,0.05,20296
-O3,2.99,2.73,0.02,20296
-O3,2.80,2.53,0.05,20296
-O3,2.69,2.44,0.04,20296
-Os,2.84,2.60,0.02,16200
-Os,3.14,2.86,0.03,16200
-Os,2.85,2.60,0.03,16200
-Os,2.77,2.50,0.05,16200
-Os,2.82,2.56,0.04,16200
-Os,3.50,3.14,0.08,16200
-Os,3.49,3.17,0.04,16200
-Os,3.13,2.86,0.02,16200
-Os,2.87,2.58,0.06,16200
-Os,2.86,2.57,0.06,16200
