Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
0,4.25,3.88,0.03,4414008
0,4.33,3.96,0.03,4414008
0,4.56,4.17,0.03,4414008
0,4.42,4.06,0.01,4414008
0,5.06,4.64,0.03,4414008
0,4.16,3.78,0.05,4414008
0,4.08,3.76,0.00,4414008
0,4.27,3.84,0.10,4414008
0,4.19,3.83,0.03,4414008
0,4.26,3.86,0.07,4414008
1,2.67,2.42,0.04,4408328
1,2.68,2.44,0.03,4408328
1,2.62,2.38,0.03,4408328
1,2.68,2.42,0.05,4408328
1,2.71,2.46,0.03,4408328
1,2.67,2.41,0.04,4408328
1,2.63,2.34,0.08,4408328
1,2.59,2.34,0.05,4408328
1,2.70,2.42,0.06,4408328
1,2.58,2.35,0.03,4408328
2,2.71,2.49,0.01,4408328
2,2.60,2.40,0.00,4408328
2,2.60,2.38,0.01,4408328
2,2.57,2.31,0.05,4408328
2,2.59,2.35,0.04,4408328
2,2.68,2.40,0.07,4408328
2,2.67,2.43,0.03,4408328
2,2.66,2.41,0.03,4408328
2,2.68,2.43,0.04,4408328
2,2.64,2.39,0.04,4408328
3,2.71,2.45,0.04,4408328
3,2.69,2.43,0.05,4408328
3,2.64,2.36,0.07,4408328
3,2.66,2.41,0.04,4408328
3,2.65,2.39,0.05,4408328
3,2.65,2.42,0.02,4408328
3,2.58,2.36,0.02,4408328
3,2.63,2.38,0.04,4408328
3,2.60,2.34,0.05,4408328
3,2.65,2.40,0.04,4408328
s,2.69,2.46,0.02,4408328
s,2.70,2.47,0.02,4408328
s,2.66,2.41,0.04,4408328
s,2.70,2.45,0.03,4408328
s,2.67,2.41,0.04,4408328
s,2.69,2.45,0.02,4408328
s,2.77,2.50,0.05,4408328
s,2.67,2.43,0.02,4408328
s,2.72,2.49,0.01,4408328
s,2.78,2.47,0.09,4408328
z,2.81,2.54,0.05,4408488
z,2.77,2.51,0.04,4408488
z,2.80,2.54,0.04,4408488
z,3.60,3.27,0.05,4408488
z,2.95,2.65,0.07,4408488
z,2.86,2.61,0.02,4408488
z,2.77,2.52,0.03,4408488
z,2.86,2.57,0.07,4408488
z,2.80,2.54,0.04,4408488
z,2.75,2.51,0.02,4408488
