Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
-O0,4.76,4.70,0.06,16168
-O0,4.79,4.72,0.06,16168
-O0,4.74,4.68,0.06,16168
-O0,4.82,4.75,0.07,16168
-O0,4.76,4.68,0.07,16168
-O0,4.80,4.71,0.08,16168
-O0,4.79,4.72,0.07,16168
-O0,4.75,4.68,0.07,16168
-O0,4.77,4.69,0.07,16168
-O0,4.78,4.72,0.06,16168
-O1,4.53,4.48,0.05,16168
-O1,4.53,4.47,0.05,16168
-O1,4.54,4.46,0.07,16168
-O1,4.56,4.51,0.04,16168
-O1,4.42,4.34,0.07,16168
-O1,4.44,4.35,0.09,16168
-O1,4.53,4.46,0.06,16168
-O1,4.54,4.47,0.07,16168
-O1,4.51,4.45,0.05,16168
-O1,4.50,4.43,0.07,16168
-O2,3.91,3.84,0.06,20304
-O2,3.92,3.86,0.05,20304
-O2,3.95,3.89,0.05,20304
-O2,3.91,3.83,0.08,20304
-O2,3.91,3.84,0.06,20304
-O2,3.93,3.88,0.04,20304
-O2,3.93,3.86,0.07,20304
-O2,3.89,3.82,0.06,20304
-O2,3.94,3.87,0.06,20304
-O2,3.93,3.86,0.07,20304
-O3,3.88,3.81,0.06,20304
-O3,3.86,3.79,0.06,20304
-O3,3.89,3.82,0.07,20304
-O3,3.88,3.80,0.07,20304
-O3,3.84,3.78,0.06,20304
-O3,3.81,3.75,0.06,20304
-O3,3.84,3.77,0.06,20304
-O3,3.81,3.72,0.09,20304
-O3,3.89,3.83,0.05,20304
-O3,3.83,3.76,0.07,20304
-Os,4.19,4.12,0.07,16208
-Os,4.18,4.13,0.05,16208
-Os,4.21,4.14,0.06,16208
-Os,4.19,4.14,0.04,16208
-Os,4.21,4.11,0.09,16208
-Os,4.21,4.14,0.07,16208
-Os,4.20,4.11,0.08,16208
-Os,4.20,4.13,0.07,16208
-Os,4.23,4.15,0.07,16208
-Os,4.23,4.18,0.04,16208
