Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
-O0,75.79,75.78,0.00,16096
-O0,75.77,75.77,0.00,16096
-O0,79.06,79.05,0.00,16096
-O0,75.77,75.77,0.00,16096
-O0,75.80,75.79,0.00,16096
-O0,75.76,75.76,0.00,16096
-O0,75.79,75.78,0.00,16096
-O0,75.77,75.77,0.00,16096
-O0,75.79,75.78,0.00,16096
-O0,75.77,75.76,0.00,16096
-O1,31.04,31.04,0.00,16096
-O1,31.04,31.04,0.00,16096
-O1,31.03,31.03,0.00,16096
-O1,31.05,31.04,0.00,16096
-O1,31.03,31.03,0.00,16096
-O1,31.03,31.03,0.00,16096
-O1,31.04,31.04,0.00,16096
-O1,31.05,31.04,0.00,16096
-O1,31.04,31.03,0.00,16096
-O1,31.05,31.04,0.00,16096
-O2,35.94,35.94,0.00,16200
-O2,35.97,35.96,0.00,16200
-O2,35.93,35.92,0.00,16200
-O2,35.95,35.94,0.00,16200
-O2,35.96,35.95,0.00,16200
-O2,35.93,35.92,0.00,16200
-O2,35.97,35.97,0.00,16200
-O2,35.96,35.95,0.00,16200
-O2,35.95,35.95,0.00,16200
-O2,35.92,35.92,0.00,16200
-O3,37.31,37.31,0.00,16200
-O3,37.40,37.40,0.00,16200
-O3,37.32,37.32,0.00,16200
-O3,37.42,37.41,0.00,16200
-O3,37.41,37.41,0.00,16200
-O3,37.41,37.41,0.00,16200
-O3,37.41,37.41,0.00,16200
-O3,37.32,37.32,0.00,16200
-O3,37.51,37.50,0.00,16200
-O3,37.40,37.39,0.00,16200
-Os,33.38,33.38,0.00,16152
-Os,33.34,33.34,0.00,16152
-Os,33.36,33.36,0.00,16152
-Os,33.47,33.46,0.00,16152
-Os,33.41,33.41,0.00,16152
-Os,33.36,33.36,0.00,16152
-Os,33.34,33.34,0.00,16152
-Os,33.35,33.34,0.00,16152
-Os,33.35,33.35,0.00,16152
-Os,33.42,33.42,0.00,16152
