Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
-O0,74.34,74.34,0.00,16088
-O0,73.46,73.44,0.00,16088
-O0,74.32,74.30,0.01,16088
-O0,79.31,76.27,0.00,16088
-O0,80.40,74.21,0.00,16088
-O0,80.82,74.59,0.00,16088
-O0,81.22,74.97,0.00,16088
-O0,80.45,74.25,0.00,16088
-O0,80.92,74.69,0.00,16088
-O0,80.80,74.58,0.00,16088
78.60
-O1,38.50,35.54,0.00,16096
-O1,38.49,35.53,0.00,16096
-O1,38.52,35.56,0.00,16096
-O1,39.12,36.10,0.00,16096
-O1,38.84,35.85,0.00,16096
-O1,38.90,35.90,0.00,16096
-O1,38.42,35.46,0.00,16096
-O1,38.40,35.44,0.00,16096
-O1,38.54,35.57,0.00,16096
-O1,38.39,35.43,0.00,16096
38.61
-O2,40.13,37.05,0.00,16184
-O2,40.05,36.97,0.00,16184
-O2,40.20,37.11,0.00,16184
-O2,40.04,36.96,0.00,16184
-O2,40.29,37.19,0.00,16184
-O2,40.28,37.16,0.01,16184
-O2,40.14,37.05,0.00,16184
-O2,40.79,37.65,0.00,16184
-O2,40.80,37.65,0.00,16184
-O2,40.92,37.76,0.00,16184
40.36
-O3,48.75,45.00,0.00,16184
-O3,49.23,45.44,0.00,16184
-O3,49.29,45.46,0.03,16184
-O3,49.90,46.05,0.00,16184
-O3,48.34,44.62,0.00,16184
-O3,48.69,44.94,0.00,16184
-O3,48.56,44.82,0.00,16184
-O3,50.72,46.82,0.00,16184
-O3,48.89,45.13,0.00,16184
-O3,48.58,44.84,0.00,16184
49.09
-Os,45.40,41.91,0.00,16136
-Os,45.80,42.27,0.00,16136
-Os,45.06,41.59,0.00,16136
-Os,44.41,40.99,0.00,16136
-Os,44.39,40.98,0.00,16136
-Os,44.32,40.91,0.00,16136
-Os,44.68,41.24,0.00,16136
-Os,44.52,41.09,0.00,16136
-Os,44.93,41.47,0.00,16136
-Os,44.40,40.98,0.00,16136
44.79
