Optimization,Real Time(s),User Time(s),System Time(s),Binary Size(bytes)
0,14.72,14.60,0.12,11617760
0,14.19,14.09,0.09,11617760
0,14.19,14.12,0.07,11617760
0,14.19,14.13,0.05,11617760
0,14.20,14.14,0.05,11617760
0,14.18,14.09,0.08,11617760
0,14.24,14.18,0.06,11617760
0,14.17,14.11,0.05,11617760
0,14.21,14.12,0.08,11617760
0,14.18,14.13,0.05,11617760
1,4.28,4.18,0.09,11603144
1,4.29,4.20,0.08,11603144
1,4.31,4.25,0.06,11603144
1,4.28,4.21,0.07,11603144
1,4.29,4.22,0.07,11603144
1,4.25,4.17,0.07,11603144
1,4.33,4.26,0.06,11603144
1,4.30,4.24,0.06,11603144
1,4.29,4.22,0.07,11603144
1,4.23,4.16,0.06,11603144
2,3.70,3.63,0.07,11603144
2,3.71,3.64,0.07,11603144
2,3.70,3.60,0.09,11603144
2,3.68,3.62,0.05,11603144
2,3.74,3.67,0.05,11603144
2,3.69,3.61,0.07,11603144
2,3.70,3.65,0.05,11603144
2,3.67,3.60,0.06,11603144
2,3.71,3.62,0.08,11603144
2,3.75,3.69,0.05,11603144
3,3.71,3.63,0.08,11603144
3,3.73,3.66,0.06,11603144
3,3.69,3.63,0.06,11603144
3,3.71,3.64,0.07,11603144
3,3.72,3.66,0.06,11603144
3,3.72,3.63,0.09,11603144
3,3.69,3.61,0.08,11603144
3,3.75,3.68,0.06,11603144
3,3.72,3.66,0.06,11603144
3,3.68,3.61,0.06,11603144
s,3.75,3.70,0.05,11603120
s,3.72,3.64,0.07,11603120
s,3.75,3.68,0.06,11603120
s,3.75,3.67,0.07,11603120
s,3.74,3.67,0.06,11603120
s,3.78,3.72,0.06,11603120
s,3.75,3.68,0.06,11603120
s,3.75,3.70,0.05,11603120
s,3.73,3.67,0.05,11603120
s,3.75,3.69,0.05,11603120
z,3.93,3.87,0.06,11603040
z,3.95,3.88,0.06,11603040
z,3.91,3.85,0.05,11603040
z,3.96,3.89,0.07,11603040
z,3.94,3.88,0.06,11603040
z,3.92,3.84,0.07,11603040
z,3.92,3.84,0.07,11603040
z,3.98,3.92,0.06,11603040
z,3.96,3.85,0.10,11603040
z,3.92,3.84,0.07,11603040
