Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:26:58   8.2   0.0   1.4  90.4   0.0    2   1630    804    0    0    0   0.89 
17:26:59   7.7   0.0   0.7  91.7   0.0    2    244     88    0    0    0   0.89 
17:27:00   8.4   0.0   0.7  90.8   0.0    2   1489    721    0    0    0   0.89 
17:27:01   8.0   0.0   0.6  91.4   0.0    2    360    156    0    0    0   0.89 
17:27:02   8.4   0.0   0.7  90.9   0.0    2   1559    753    0    0    0   0.89 
17:27:03   8.0   0.0   0.3  91.6   0.1    2    183     53    0    0    0   0.89 
17:27:04   8.1   0.0   0.8  91.2   0.0    2   1412    679    0    0    0   0.89 
17:27:05   8.1   0.0   0.3  91.7   0.0    2    171     57    0    0    0   0.89 
17:27:06   7.4   0.0   1.1  91.5   0.0    2    449    175    0    0    0   0.89 
17:27:07   8.2   0.0   0.3  91.4   0.0    2   1160    546    0    0    0   0.89 
17:27:08   8.2   0.0   0.2  91.5   0.2    2    190     53    0    0    0   0.89 
17:27:09   8.3   0.0   0.5  91.2   0.0    2   1460    707    0    0    0   0.89 
17:27:10   7.8   0.0   0.6  91.7   0.0    2    151     39    0    0    0   0.89 
17:27:11   8.3   0.0   0.4  91.3   0.0    2   1403    672    0    0    0   0.89 
17:27:12   7.9   0.0   0.4  91.7   0.0    2    149     39    0    0    0   0.89 
17:27:13   8.4   0.0   0.3  91.2   0.1    2   1609    767    0    0    0   0.89 
17:27:14   7.9   0.0   0.4  91.7   0.0    2    159     46    0    0    0   0.89 
17:27:15   8.3   0.0   0.6  91.1   0.0    2   1403    670    0    0    0   0.89 
17:27:16   7.8   0.0   0.7  91.5   0.0    2    216     70    0    0    0   0.89 
17:27:17   8.2   0.0   0.6  91.2   0.0    2   1293    606    0    0    0   0.89 
17:27:18   7.9   0.0   0.6  91.5   0.0    2    176     51    0    0    0   0.89 
17:27:19   8.3   0.0   0.6  91.2   0.0    2   1436    693    0    0    0   0.89 
17:27:20   7.8   0.0   0.6  91.6   0.0    2    154     48    0    0    0   0.89 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:27:21   8.3   0.0   0.4  91.3   0.0    2   1423    680    0    0    0   0.89 
17:27:22   7.5   0.0   0.8  91.7   0.0    2    148     44    0    0    0   0.89 
17:27:23   8.0   0.0   0.8  91.1   0.1    2   1437    687    0    0    0   0.89 
17:27:24   8.3   0.0   0.0  91.7   0.0    2    150     38    0    0    0   0.89 
17:27:25   8.0   0.0   0.8  91.2   0.0    2   1384    660    0    0    0   0.89 
17:27:26   8.2   0.0   0.3  91.5   0.0    2    173     55    0    0    0   0.89 
17:27:27   8.1   0.0   0.7  91.2   0.0    2   1372    671    0    0    0   0.89 
17:27:28   8.3   0.0   0.1  91.6   0.0    2    322    109    0    0    0   0.89 
17:27:29   8.0   0.0   0.8  91.2   0.0    2   1411    678    0    0    0   0.89 
17:27:30   8.3   0.0   0.1  91.7   0.0    2    148     36    0    0    0   0.89 
17:27:31   8.1   0.0   1.0  90.9   0.0    2   1400    687    0    0    0   0.89 
17:27:32   8.1   0.0   0.3  91.6   0.0    2    132     35    0    0    0   0.89 
17:27:33   8.2   0.0   0.5  91.1   0.3    2   1397    668    0    0    0   0.89 
17:27:34   7.9   0.0   0.4  91.7   0.0    2    149     39    0    0    0   0.89 
17:27:35   7.9   0.0   1.1  91.0   0.0    2   1398    677    0    0    0   0.89 
17:27:36   8.2   0.0   0.3  91.6   0.0    2    176     54    0    0    0   0.89 
17:27:37   8.4   0.0   0.4  91.2   0.0    2   1406    676    0    0    0   0.89 
17:27:38   8.0   0.0   0.3  91.4   0.2    2    177     60    0    0    0   0.89 
17:27:39   8.3   0.0   0.6  91.1   0.0    2   1404    674    0    0    0   0.89 
17:27:40   8.2   0.0   0.2  91.6   0.0    2    153     54    0    0    0   0.89 
17:27:41   8.4   0.0   0.5  91.1   0.0    3   1357    643    0    0    0   0.89 
17:27:42   8.2   0.0   0.4  91.4   0.0    2    177     64    0    0    0   0.89 
17:27:43   7.9   0.0   0.4  91.7   0.0    2    147     45    0    0    0   0.89 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:27:44   8.3   0.0   0.5  91.2   0.0    2   1421    687    0    0    0   0.89 
17:27:45   7.7   0.0   0.8  91.6   0.0    2    425    167    0    0    0   0.89 
17:27:46   8.4   0.0   1.3  90.3   0.0    2   1590    752    0    0    0   0.89 
17:27:47   8.3   0.0   0.2  91.4   0.0    2    341    119    0    0    0   0.89 
17:27:48   8.3   0.0   0.6  91.2   0.0    2   1409    677    0    0    0   0.89 
17:27:49   7.7   0.0   0.7  91.7   0.0    2    182     55    0    0    0   0.89 
17:27:50   8.0   0.0   0.8  91.2   0.0    2   1448    694    0    0    0   0.89 
17:27:51   8.0   0.0   0.3  91.7   0.0    2    182     55    0    0    0   0.89 
17:27:52   8.2   0.0   0.7  91.1   0.0    4   1398    674    0    0    0   0.89 
17:27:53   8.0   0.0   0.4  91.3   0.2    2    166     53    0    0    0   0.89 
17:27:54   7.8   0.0   1.2  90.9   0.0    2   1396    671    0    0    0   0.89 
17:27:55   8.1   0.0   0.3  91.6   0.0    2    151     48    0    0    0   0.89 
17:27:56   7.7   0.0   0.8  91.5   0.0    2   1432    689    0    0    0   0.89 
17:27:57   8.2   0.0   0.2  91.7   0.0    2    134     40    0    0    0   0.89 
17:27:58   8.2   0.0   0.6  91.2   0.0    2   1386    663    0    0    0   0.89 
17:27:59   7.6   0.0   0.8  91.7   0.0    2    145     41    0    0    0   0.89 
17:28:00   8.3   0.0   0.5  91.2   0.0    2   1412    678    0    0    0   0.89 
17:28:01   7.8   0.0   0.6  91.6   0.0    2    168     49    0    0    0   0.89 
17:28:02   8.6   0.0   0.2  91.2   0.0    2   1372    668    0    0    0   0.89 
17:28:03   7.9   0.0   0.5  91.5   0.1    2    329     56    0    0    0   0.89 
17:28:04   8.2   0.0   0.5  91.3   0.0    2   1386    672    0    0    0   0.89 
17:28:05   8.0   0.0   0.3  91.7   0.0    2    192     46    0    0    0   0.89 
17:28:06   8.2   0.0   0.7  91.0   0.0    2   1416    676    0    0    0   0.89 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:28:07   7.8   0.0   0.5  91.7   0.0    2    170     43    0    0    0   0.89 
17:28:08   8.0   0.0   0.8  91.0   0.2    2   1395    662    0    0    0   0.89 
17:28:09   8.2   0.0   0.2  91.5   0.0    2    186     52    0    0    0   0.89 
17:28:10   8.0   0.0   0.7  91.3   0.0    2   1399    677    0    0    0   0.89 
17:28:11   8.3   0.0   0.1  91.6   0.0    2    369     81    0    0    0   1.88 
17:28:12   7.9   0.0   0.8  91.2   0.0    2   1425    680    0    0    0   1.88 
17:28:13   8.0   0.0   0.3  91.6   0.1    2    188     56    0    0    0   1.88 
17:28:14   8.6   0.0   0.3  91.1   0.0    2   1394    663    0    0    0   1.88 
17:28:15   8.1   0.0   0.3  91.6   0.0    2    172     55    0    0    0   1.88 
17:28:16   7.8   0.0   0.7  91.6   0.0    2    661    229    0    0    0   2.22 
17:28:17   8.0   0.0   0.7  91.3   0.0    2   1117    537    0    0    0   2.22 
17:28:18   8.2   0.0   0.2  91.7   0.0    2    160     43    0    0    0   2.22 
17:28:19   8.2   0.0   0.7  91.2   0.0    2   1431    679    0    0    0   2.22 
17:28:20   8.2   0.0   0.2  91.7   0.0    2    179     52    0    0    0   2.22 
17:28:21   8.2   0.0   0.7  91.2   0.0    2   1418    682    0    0    0   2.22 
17:28:22   7.8   0.0   0.6  91.6   0.0    2    140     44    0    0    0   2.22 
